"age","len_mar_stat","count"
"42","9",634
"30","9",4156
"69","43",291
"57","43",51
"31","99",13050
"37","10",2376
"33","12",3482
"32","11",3209
"41","22",1549
"42","18",2498
"39","4",720
"39","15",2939
"62","34",529
"42","15",1820
"53","23",563
"53","21",377
"45","21",1942
"46","24",1800
"45","7",459
"55","23",429
"45","23",2174
"69","48",317
"56","48",9
"43","14",1047
"55","25",918
"36","11",2305
"44","16",1206
"48","12",484
"83","99",1279
"51","26",1234
"54","21",318
"37","14",2821
"55","2",147
"57","2",80
"37","3",729
"33","3",1508
"37","19",1586
"20","6",407
"37","20",1589
"34","16",1787
"21","4",2172
"46","20",1989
"65","36",340
"60","36",739
"27","11",1040
"61","33",502
"24","4",4603
"60","37",637
"55","37",521
"39","23",631
"50","21",858
"62","28",195
"50","28",2028
"35","15",3155
"47","23",1601
"39","0",350
"25","0",3032
"46","25",2206
"30","25",20
"39","12",2146
"25","12",283
"70","49",271
"68","49",208
"57","25",435
"37","7",1304
"45","3",354
"39","3",648
"23","0",3440
"24","0",3362
"80","34",18
"53","15",288
"67","20",106
"52","1",174
"37","1",624
"59","25",327
"42","7",596
"24","10",563
"24","8",1432
"75","40",195
"70","40",608
"29","13",928
"28","13",635
"35","18",1456
"44","28",527
"67","99",4976
"55","15",248
"50","26",1857
"45","26",1634
"39","20",2836
"65","6",59
"40","6",905
"55","33",1485
"35","4",1334
"30","4",3444
"35","1",1030
"48","24",1684
"32","1",1297
"37","99",9213
"53","31",1104
"52","31",1241
"40","12",2192
"66","99",5054
"42","19",2374
"35","16",2403
"30","16",460
"81","32",7
"44","22",2059
"45","12",822
"32","8",3546
"28","8",4083
"37","9",1524
"24","9",805
"44","10",713
"27","10",2221
"58","25",375
"40","5",913
"36","5",1130
"53","25",997
"92","99",155
"40","24",844
"52","23",711
"22","3",4076
"29","3",2821
"47","22",1434
"66","18",65
"55","18",330
"78","25",24
"47","30",1042
"54","30",1951
"47","27",1670
"38","19",2263
"62","99",5392
"35","8",2385
"83","45",14
"60","45",206
"55","34",1287
"45","34",40
"27","13",336
"26","5",4474
"23","9",402
"54","8",150
"34","21",92
"46","28",1002
"48","26",1922
"20","0",3386
"57","28",517
"53","28",1084
"45","1",397
"53","29",1025
"47","29",850
"73","45",212
"63","45",374
"62","32",446
"55","32",1385
"34","17",1292
"32","17",466
"47","20",1694
"34","10",3754
"34","5",1685
"30","5",4203
"28","2",3309
"48","34",120
"35","6",1746
"30","6",4128
"50","23",1219
"50","24",1424
"50","18",720
"21","7",349
"23","10",227
"70","15",67
"38","6",1084
"53","27",961
"16","0",825
"40","13",2097
"38","2",739
"34","1",949
"64","32",310
"58","32",823
"51","25",1356
"44","25",1985
"56","29",691
"29","0",1448
"66","39",332
"63","39",569
"39","99",9780
"21","0",3416
"33","14",2313
"49","24",1368
"45","25",2682
"48","25",2246
"58","10",143
"52","21",476
"36","21",356
"42","16",1873
"31","5",2482
"51","16",327
"71","18",19
"56","13",164
"42","13",1186
"26","13",166
"50","29",1630
"49","29",1308
"45","17",1299
"41","18",2381
"54","99",6035
"45","11",572
"39","18",2954
"32","18",317
"32","15",1520
"47","12",485
"38","14",2834
"26","11",619
"35","3",1221
"32","3",1741
"34","6",1770
"50","6",312
"17","0",1379
"37","8",1477
"33","22",36
"39","22",1076
"64","99",5397
"56","35",1314
"45","10",884
"42","10",1130
"17","1",1143
"48","4",226
"40","4",835
"38","16",3118
"31","8",3205
"33","19",227
"38","33",6
"70","34",117
"75","34",41
"59","17",107
"56","31",922
"46","31",180
"74","99",3712
"65","10",94
"57","33",1043
"51","33",817
"47","9",278
"45","28",916
"48","21",1052
"61","35",660
"69","11",28
"54","1",163
"58","1",114
"33","18",553
"47","32",231
"34","9",2586
"45","13",749
"49","16",463
"51","10",264
"36","12",3030
"31","12",2515
"28","0",1908
"65","42",622
"48","3",204
"42","3",421
"49","28",1630
"56","23",339
"79","4",12
"79","59",36
"77","59",28
"38","24",220
"38","7",1278
"44","21",1867
"37","21",602
"36","4",986
"77","99",2812
"48","99",6798
"59","33",789
"53","33",1296
"40","21",1998
"71","51",148
"64","51",7
"49","27",1731
"51","0",80
"37","0",391
"65","27",129
"25","27",4
"45","4",428
"60","38",783
"48","38",23
"47","25",2231
"49","14",384
"33","6",2067
"59","10",131
"44","20",2801
"47","5",274
"51","5",142
"29","12",1634
"37","2",659
"38","9",1543
"40","9",1128
"65","45",666
"27","0",2116
"33","1",1130
"72","32",64
"59","32",708
"78","16",16
"57","38",556
"32","4",1929
"33","15",2115
"40","26",333
"44","8",421
"45","8",499
"16","2",254
"59","37",642
"53","37",253
"35","17",1767
"56","11",111
"19","0",2614
"51","27",1375
"26","0",2398
"49","9",239
"31","9",3173
"28","7",4254
"49","21",879
"42","21",2093
"55","35",1463
"54","35",1114
"37","5",1024
"39","25",297
"50","8",337
"40","8",1230
"42","25",1248
"36","25",43
"33","2",1267
"31","13",1770
"33","7",2468
"36","7",1565
"60","31",469
"35","21",239
"47","0",134
"19","3",1383
"35","5",1732
"41","5",523
"31","4",1999
"57","32",983
"52","32",1356
"53","18",319
"36","18",1674
"42","23",1710
"33","5",2009
"49","26",1737
"47","10",462
"57","23",239
"50","16",620
"63","22",89
"54","22",444
"81","99",1644
"37","22",400
"55","8",146
"46","8",341
"14","0",129
"49","30",1882
"55","7",134
"39","7",1029
"23","8",819
"68","15",32
"56","15",199
"49","23",1197
"41","23",1103
"48","23",1437
"38","26",50
"76","1",32
"65","40",1101
"54","40",151
"16","1",538
"42","12",1272
"36","9",1827
"29","15",333
"61","45",161
"51","18",471
"34","18",901
"51","24",840
"35","11",2867
"51","1",169
"33","17",846
"54","7",133
"60","28",432
"51","28",1338
"51","32",996
"37","16",2704
"73","13",13
"33","9",3016
"49","31",739
"46","21",1453
"37","13",2581
"32","12",3434
"52","19",379
"46","29",557
"50","35",553
"39","11",1508
"49","3",247
"63","42",643
"66","42",499
"49","15",511
"63","8",62
"67","43",416
"62","43",406
"49","32",655
"67","50",229
"60","44",185
"62","44",310
"79","54",52
"69","54",24
"38","8",1580
"62","45",276
"43","22",2183
"44","26",1192
"70","0",23
"59","0",54
"61","34",545
"52","34",829
"63","30",454
"58","30",1081
"27","12",730
"49","25",2012
"73","48",225
"64","48",134
"29","14",571
"62","31",269
"52","25",1307
"46","26",1736
"60","41",434
"61","41",458
"45","29",530
"39","16",2843
"57","35",1225
"66","35",300
"37","17",2368
"66","21",59
"65","21",72
"56","30",1543
"46","30",689
"18","4",307
"57","26",358
"48","13",430
"66","10",69
"53","10",241
"36","0",443
"36","14",2766
"30","14",1197
"28","9",3071
"33","23",28
"32","21",35
"40","28",108
"47","35",55
"44","18",1666
"49","1",203
"34","7",2113
"70","25",91
"45","14",926
"49","17",514
"36","17",2004
"42","8",592
"50","15",705
"48","1",244
"50","33",777
"48","33",218
"60","42",470
"44","5",373
"56","1",141
"44","1",319
"58","20",267
"52","29",1191
"76","54",108
"70","54",38
"45","5",452
"56","22",296
"78","42",32
"74","42",85
"72","38",63
"62","38",586
"44","32",61
"40","3",754
"45","30",682
"65","32",234
"67","32",142
"82","99",1567
"48","7",264
"62","23",110
"74","48",171
"48","19",847
"57","27",480
"31","14",1202
"67","35",265
"33","16",1366
"41","21",1714
"46","27",1339
"24","17",9
"27","2",3646
"34","11",2994
"54","34",1244
"20","10",47
"67","26",90
"53","17",251
"30","18",146
"43","28",284
"59","31",492
"63","35",585
"54","20",548
"41","4",430
"42","4",521
"47","11",332
"37","4",859
"53","36",370
"40","36",11
"50","7",300
"34","3",1197
"26","14",86
"47","6",260
"56","6",106
"64","38",381
"58","38",678
"24","16",9
"18","7",27
"49","19",728
"51","19",402
"54","15",251
"55","17",248
"39","6",818
"17","6",13
"22","10",123
"46","15",806
"28","15",186
"82","55",30
"69","55",11
"46","12",532
"70","20",135
"80","10",24
"50","0",172
"42","0",250
"55","28",899
"59","28",390
"70","14",37
"62","14",79
"41","14",1392
"69","33",101
"63","33",424
"68","42",316
"62","42",554
"33","4",1649
"58","99",5463
"43","15",1322
"36","19",1158
"43","17",1563
"84","99",1214
