"trip_time_in_secs","trip_distance","count"
733,2,61
330,0,123
667,2,69
670,2,72
364,1,159
668,3,20
950,2,41
265,1,84
279,2,4
995,4,11
953,4,16
615,1,104
1074,4,9
890,2,52
1067,5,6
965,4,10
1408,6,6
333,1,147
1185,4,14
357,2,14
706,1,47
834,4,18
718,2,80
383,2,27
922,5,9
666,1,93
678,3,23
908,3,20
671,3,27
528,2,45
711,2,69
483,1,174
947,5,8
556,2,66
495,2,45
562,2,75
697,2,74
549,1,156
907,4,17
1141,5,8
830,3,18
258,0,175
600,2,4061
534,1,163
769,4,17
768,2,56
300,0,8847
345,0,96
801,2,53
937,5,8
612,1,112
701,1,70
1214,5,8
227,0,160
1341,4,9
339,0,123
906,5,10
656,4,10
637,3,21
504,3,8
1209,5,9
706,2,79
595,1,115
1035,8,6
611,3,25
1042,6,10
1220,4,13
1443,4,4
1298,4,11
958,4,13
787,4,9
798,4,16
948,2,45
1501,5,8
1270,5,9
1355,5,4
766,4,19
813,1,33
988,5,14
728,1,71
810,3,20
972,7,5
756,2,87
392,2,25
868,2,47
581,2,56
774,5,6
388,1,199
1061,3,15
366,0,99
368,0,90
886,1,23
1562,4,5
1158,4,13
1269,3,11
1191,5,4
478,2,41
829,3,31
2058,4,3
331,0,121
896,5,3
519,0,15
516,3,12
472,2,38
389,0,79
1053,5,13
561,2,67
625,5,6
462,1,193
386,0,66
811,2,61
818,3,34
592,2,69
126,0,103
754,1,56
215,1,43
467,0,45
744,2,66
1054,5,13
956,3,26
444,0,56
363,0,93
825,1,31
718,3,27
591,1,135
808,2,52
922,1,17
912,2,42
503,1,189
775,1,42
541,2,60
233,0,156
759,1,43
856,4,14
1019,5,7
764,2,61
691,4,9
566,2,63
282,1,115
665,2,63
238,1,63
867,3,31
610,1,124
347,1,151
482,1,171
558,1,146
208,1,49
311,2,12
775,3,35
287,0,155
119,0,85
456,1,203
710,1,59
810,1,23
187,1,23
520,2,63
508,0,37
424,0,58
465,0,36
23,0,19
709,3,22
551,1,139
674,1,75
552,2,63
68,0,30
407,1,178
456,0,36
439,2,44
572,0,16
372,0,75
620,2,80
223,1,57
357,0,93
743,2,57
360,0,6049
176,1,24
662,1,72
994,7,6
954,2,41
690,3,20
872,1,28
783,2,63
403,0,58
288,1,113
732,3,30
213,1,56
470,1,183
595,0,10
402,2,34
121,0,100
354,2,13
401,1,174
532,2,62
324,1,143
847,2,49
207,1,35
367,0,89
355,1,158
355,0,94
143,1,11
113,0,90
353,0,89
216,1,38
747,2,57
130,0,99
810,2,52
961,2,37
663,1,76
174,0,157
823,4,15
281,1,109
564,1,125
836,1,32
208,0,196
696,1,90
198,1,31
832,2,53
510,2,48
553,0,15
510,1,179
740,2,65
793,2,65
891,4,8
359,1,191
620,4,5
490,2,43
886,3,30
521,3,13
523,2,61
323,0,134
311,1,121
797,2,51
639,2,80
483,2,59
432,1,167
637,1,92
646,1,102
580,1,117
654,1,86
586,1,114
693,1,69
446,2,41
745,1,61
857,2,55
291,0,146
608,1,107
684,3,27
763,1,50
737,3,14
994,1,9
815,4,25
1283,3,16
351,1,182
282,0,145
349,1,163
408,1,205
631,1,115
444,1,192
641,1,95
264,1,78
314,0,122
732,1,54
1002,4,22
680,0,7
681,2,77
246,0,151
1019,6,7
518,2,51
569,2,70
893,4,18
1019,7,6
813,4,14
921,1,14
406,2,27
850,4,13
743,1,61
460,2,46
783,3,20
374,1,174
946,2,41
913,2,38
853,2,45
701,2,75
527,1,170
747,1,61
599,1,114
840,1,1727
708,2,70
869,3,21
949,3,15
926,4,18
613,2,71
724,5,8
703,4,11
247,1,79
404,0,87
582,0,14
916,1,9
572,1,105
917,1,12
442,1,199
637,2,59
416,0,57
948,5,14
977,1,11
819,1,31
998,2,23
274,1,99
821,3,40
1063,1,8
858,3,43
1060,3,16
748,1,54
205,1,25
709,2,63
368,1,183
707,3,19
840,2,3160
111,0,79
141,0,124
1004,1,11
837,3,28
956,5,8
279,1,98
916,3,24
773,2,53
62,0,19
935,1,20
384,1,167
847,1,33
776,2,71
70,0,31
621,1,109
683,1,79
409,2,31
786,1,40
771,4,12
670,1,83
881,3,19
690,1,70
1038,3,24
975,4,17
876,3,34
1005,5,9
745,3,24
646,2,63
439,0,46
794,3,31
582,1,122
972,5,9
554,2,67
861,4,11
939,4,20
718,1,65
546,1,154
781,2,64
916,2,38
937,4,11
729,2,60
297,0,152
517,1,153
1067,2,20
516,2,59
643,3,12
1124,1,7
1022,3,12
766,2,64
352,1,178
578,2,81
574,1,134
844,5,7
1025,4,14
597,2,75
1327,6,7
1075,1,7
972,4,16
579,1,128
942,3,32
1213,2,6
1560,16,33
95,0,55
1209,4,9
439,1,195
1184,2,14
1237,3,14
171,1,12
695,2,75
1167,9,8
696,4,14
35,0,21
1300,7,7
585,1,118
606,1,97
758,1,49
659,1,97
582,2,55
486,2,54
731,1,60
404,2,24
285,1,110
1092,4,11
544,0,16
627,2,72
730,1,65
621,0,8
554,1,146
691,2,71
209,1,32
329,0,130
601,2,74
513,3,11
661,1,75
538,1,149
625,2,73
566,0,11
538,0,15
859,2,54
159,0,143
1078,3,23
77,0,54
807,1,38
780,2,3685
704,2,69
588,1,130
932,2,39
149,0,112
398,2,18
275,1,109
949,4,13
168,0,149
177,0,166
666,2,84
694,1,72
713,2,65
875,1,22
498,0,30
424,2,29
529,1,154
742,5,6
259,1,81
299,0,164
988,3,24
325,1,149
525,1,172
1105,2,12
660,4,383
457,1,181
665,3,15
752,2,58
238,0,140
715,4,15
306,1,113
320,1,155
1281,3,13
723,1,57
529,0,22
535,2,62
340,0,106
586,2,73
547,2,56
140,0,115
239,1,65
862,3,29
533,2,53
89,0,53
813,3,30
379,0,78
598,1,125
704,0,8
215,0,172
755,2,66
589,1,109
348,2,10
1150,4,8
1149,2,13
907,2,49
686,1,74
97,0,68
1343,4,10
465,1,167
350,1,183
327,0,136
794,5,8
1187,2,15
619,1,111
1092,5,8
144,0,118
783,4,10
792,4,15
1196,7,5
569,3,20
988,4,21
731,2,54
1219,5,4
882,4,14
830,2,56
396,2,25
544,1,128
791,2,73
702,1,55
648,3,23
793,4,15
688,3,27
187,0,141
633,2,75
890,4,12
958,5,12
1081,3,21
465,2,41
578,4,9
1013,4,11
786,3,24
653,2,85
915,4,7
1334,3,6
1211,4,5
991,3,21
1574,4,8
864,2,32
1055,3,16
1060,5,8
948,1,7
1380,3,423
236,1,55
1019,3,17
926,2,43
848,3,13
1365,3,10
747,3,32
1001,4,13
253,1,70
877,3,29
911,3,30
584,1,115
698,3,28
1275,4,12
408,0,54
361,1,171
224,1,58
762,1,46
434,1,187
1061,2,21
667,1,78
505,0,33
1272,3,15
1260,6,235
911,2,36
779,2,48
78,0,36
797,1,46
1057,2,19
231,1,56
1387,3,10
1144,5,6
447,0,42
1251,3,16
1338,3,4
714,3,20
1019,2,20
270,0,158
1137,4,13
1331,4,8
842,3,34
984,2,41
479,0,29
949,1,12
826,3,35
560,1,147
162,0,156
930,5,5
1021,4,12
724,1,78
992,1,8
727,3,30
1028,4,14
964,3,21
1095,1,10
851,2,60
630,2,82
712,1,67
972,1,9
720,1,3751
960,2,2019
878,2,55
854,2,53
841,1,22
485,1,179
984,1,12
786,2,63
286,0,154
852,1,24
864,1,25
703,1,57
440,2,47
894,1,23
559,2,61
805,1,36
643,1,113
1082,2,25
715,1,62
142,0,138
945,2,41
576,2,70
574,2,68
912,3,25
651,2,72
862,2,41
1427,3,6
858,4,13
815,1,31
887,3,27
808,4,15
850,1,12
570,0,16
1129,3,21
1105,3,19
623,1,113
1014,5,6
319,0,123
786,5,8
943,2,36
1012,4,13
966,2,37
738,1,44
676,1,83
755,1,63
1285,3,10
924,2,37
359,0,88
802,1,39
821,1,38
848,1,35
1112,3,15
892,3,26
341,0,94
751,2,71
699,3,28
714,2,69
1284,3,7
1321,5,9
485,2,55
844,6,11
901,3,25
190,1,29
758,4,6
1002,5,8
1245,2,6
400,1,186
891,2,37
1045,1,3
720,6,120
916,4,18
1451,5,5
178,1,22
410,1,188
947,3,27
782,2,47
509,1,159
758,2,64
720,2,4237
904,2,48
1048,2,24
504,4,5
1134,4,10
385,2,24
928,2,38
649,1,83
373,0,91
915,1,20
1209,6,5
827,1,22
1121,2,12
1055,2,24
1012,3,22
680,2,72
675,1,81
1034,3,18
1057,1,9
534,2,57
1087,2,19
963,2,42
540,2,3515
1113,4,8
842,2,58
1170,4,8
951,1,19
957,2,41
1029,3,15
793,1,48
619,0,6
717,2,75
882,2,45
214,1,39
901,2,51
1266,2,8
922,3,20
942,1,13
1390,4,10
1068,2,16
614,1,115
999,3,27
898,4,11
919,2,37
1543,6,4
1167,2,12
1150,3,21
562,1,136
1032,3,19
1176,7,6
1256,3,15
134,0,94
939,2,47
713,3,22
965,1,16
1217,3,11
918,2,28
749,2,51
460,1,164
1058,2,26
1119,2,17
1155,3,17
973,2,42
755,3,25
638,3,22
966,5,11
161,0,133
711,5,12
696,2,76
396,1,178
624,3,18
935,2,31
655,2,64
810,5,9
890,3,26
500,3,7
1332,5,6
522,3,10
977,4,10
351,2,13
1347,5,4
565,1,123
504,2,53
588,2,67
767,1,58
171,0,153
818,2,49
343,1,166
750,4,17
779,4,18
365,0,81
529,2,55
610,3,15
751,1,51
1184,4,12
390,2,23
1077,2,22
167,0,153
1122,5,16
920,2,42
1386,9,3
616,1,90
773,1,44
112,0,97
413,0,61
567,2,69
498,2,45
691,1,70
631,3,20
301,2,5
125,0,103
335,0,97
608,2,63
296,0,154
438,0,47
620,0,12
729,1,52
377,0,87
669,3,21
485,0,32
898,5,7
764,1,57
690,2,69
353,2,14
716,1,70
479,2,56
599,2,76
725,2,60
530,0,26
391,1,167
568,0,22
556,0,13
522,1,169
630,1,100
526,2,60
812,1,38
1114,4,11
612,2,55
291,1,107
776,3,29
469,2,41
555,2,55
252,1,78
164,0,134
539,1,153
232,1,56
605,0,10
540,1,9247
685,1,71
546,3,16
473,2,46
512,1,178
970,3,19
430,2,26
647,1,92
885,3,33
406,0,64
830,1,32
719,1,68
590,2,59
704,5,5
688,1,74
533,0,22
88,0,57
998,3,27
277,1,85
348,0,102
914,2,45
1161,2,11
856,1,30
933,1,13
539,3,13
1041,5,7
735,1,69
770,3,30
774,2,54
1176,3,12
419,0,64
351,0,88
671,1,88
1156,1,5
870,7,3
669,1,59
1193,4,8
1422,3,3
946,3,20
843,2,62
689,1,67
759,3,21
225,1,44
1141,2,12
1103,2,15
894,3,26
923,2,38
769,2,63
1560,8,85
805,3,33
335,2,12
683,2,59
1246,7,5
817,1,39
697,1,64
654,2,82
774,1,39
868,4,10
623,2,72
633,4,7
873,1,33
170,1,15
241,0,155
942,2,43
923,3,18
136,0,111
1020,5,462
1628,6,6
655,1,102
1308,4,6
753,1,51
841,2,56
982,1,7
1090,2,24
1028,2,26
1320,2,298
1099,2,10
91,0,68
489,3,12
719,3,21
1424,2,7
985,2,30
636,0,8
606,2,81
497,0,37
1226,3,10
839,1,26
518,1,152
576,1,131
832,1,27
659,0,8
462,0,42
1309,3,9
1170,2,12
897,3,29
392,0,67
250,0,169
391,0,67
872,2,51
1027,6,9
790,1,44
825,5,5
741,1,55
750,1,48
685,3,20
941,1,13
1102,2,25
752,1,68
785,5,5
930,3,19
983,4,18
974,3,23
886,5,14
1003,2,18
1026,2,18
889,1,26
641,2,55
956,2,34
739,1,45
843,4,12
435,2,28
693,2,73
877,2,48
854,3,26
995,3,22
955,4,15
883,3,29
1132,2,14
692,1,67
765,1,43
800,1,34
571,2,72
1055,4,6
907,3,29
819,2,58
550,2,69
723,2,74
477,0,24
936,3,22
883,1,34
662,3,24
516,1,153
699,1,74
660,2,4329
415,2,26
728,2,68
733,1,63
578,3,22
855,3,23
317,1,154
771,2,64
964,5,8
202,0,186
823,3,33
813,2,61
1017,2,28
832,4,16
866,1,23
1452,6,8
581,1,156
889,3,25
1112,1,7
199,1,25
540,3,607
1148,4,10
906,4,21
1131,6,8
884,3,24
853,1,29
458,2,38
741,3,30
775,2,60
1153,9,6
651,3,25
1218,2,14
803,2,73
362,0,96
976,3,23
525,3,6
1220,7,7
904,4,13
438,2,35
848,2,39
501,1,169
650,2,72
667,5,8
954,3,24
824,2,51
837,1,31
658,2,63
694,2,64
1083,5,7
895,1,24
766,5,7
604,1,105
1176,2,11
1018,2,27
673,1,70
489,0,29
575,1,128
845,1,21
482,0,31
952,4,8
692,3,24
469,3,7
827,3,25
744,4,18
984,3,19
1133,8,6
662,2,67
430,0,43
467,1,182
1418,8,6
514,1,147
461,1,182
885,1,17
931,5,3
923,4,18
39,0,17
660,1,5334
1060,2,22
748,2,73
743,0,6
352,2,18
261,0,179
555,3,11
319,1,135
211,1,41
605,3,25
590,3,17
350,0,109
707,1,72
913,4,8
924,4,13
336,1,151
630,3,19
577,3,19
1006,4,13
658,0,5
537,1,146
675,3,22
1127,5,15
796,2,56
917,5,7
614,2,54
814,2,49
1047,5,9
678,2,76
405,2,20
634,3,16
632,2,69
639,1,76
789,3,27
572,3,12
371,2,25
741,4,13
696,0,8
632,3,21
312,1,107
617,3,16
652,2,69
875,3,25
509,2,53
599,3,22
838,3,27
466,2,48
601,4,9
265,0,164
429,2,42
642,1,100
721,4,13
728,3,23
1065,5,10
771,1,46
679,3,26
855,4,11
618,1,91
656,1,88
713,1,68
681,0,6
1012,2,39
458,0,55
887,2,48
382,0,80
1096,2,17
664,0,4
447,1,178
929,1,18
846,2,40
1025,1,12
354,0,97
711,1,61
891,3,16
799,2,54
740,1,58
1128,2,18
913,1,15
459,3,10
1010,3,24
825,3,28
346,0,106
989,2,37
899,2,42
861,1,23
1004,3,22
647,4,8
870,2,51
972,2,27
1009,2,31
854,1,31
958,1,10
990,5,11
523,0,19
634,0,14
963,1,7
1022,5,13
787,2,61
158,0,143
328,2,7
646,3,16
999,2,34
626,1,92
896,3,24
1093,3,17
951,3,30
1126,3,19
994,2,26
735,4,13
863,1,26
827,2,60
956,1,8
916,9,7
1188,2,9
945,1,19
845,2,57
221,0,154
727,1,60
789,2,58
871,1,25
998,1,10
1041,3,18
951,2,48
1046,2,26
1106,1,5
770,0,4
673,0,7
30,0,12
592,1,107
474,2,46
564,2,53
370,0,84
844,2,50
684,0,11
1075,3,25
934,1,14
881,2,43
797,4,18
1051,2,26
846,5,16
726,2,56
757,3,20
298,0,127
1054,2,25
94,0,64
826,1,29
682,1,65
828,2,40
787,1,34
1158,1,8
1198,3,19
716,2,76
877,1,23
990,2,28
892,2,46
661,0,8
879,2,43
989,3,26
941,3,27
1028,1,12
1342,3,7
980,2,20
462,2,44
957,3,25
1029,2,17
255,1,71
705,1,78
480,0,2287
1205,3,15
784,3,22
484,0,28
105,0,74
970,2,35
705,3,16
1164,3,10
1273,3,8
780,0,270
897,1,13
693,4,8
662,5,6
638,2,75
1022,2,18
1195,3,13
721,1,65
654,4,11
463,0,41
178,0,143
787,3,33
1318,9,9
800,2,63
843,3,22
638,1,91
1114,2,11
1116,2,20
1023,1,9
778,1,33
454,0,35
483,0,37
979,2,39
788,1,55
577,0,6
1057,4,12
672,3,20
622,0,8
806,1,46
567,0,16
586,0,13
333,0,113
1339,3,11
542,3,16
531,2,55
992,2,27
442,2,48
677,3,27
1027,2,25
1097,2,17
601,3,15
872,6,4
715,3,30
981,1,15
645,2,86
739,2,81
1047,3,19
383,1,175
649,2,52
1030,2,24
416,2,24
1099,4,5
368,2,14
1063,2,17
710,3,26
730,3,35
725,3,16
595,3,13
1223,4,15
596,3,17
1152,2,11
1239,2,9
244,1,59
1221,3,9
806,2,60
1301,2,8
312,2,8
383,0,72
614,3,24
229,1,60
99,0,68
27,0,21
1102,7,7
870,3,22
811,1,37
622,1,116
761,3,16
1094,2,23
499,3,7
1148,3,15
1125,4,12
124,0,113
1117,2,15
378,2,13
903,4,13
791,1,33
1199,2,8
1250,3,9
927,5,5
842,1,20
550,3,17
1082,3,20
294,1,105
727,2,68
1215,5,4
867,1,23
1136,5,10
914,3,28
818,1,37
839,2,66
369,2,14
1435,3,9
1000,3,22
673,2,71
978,4,18
858,1,18
677,1,92
561,1,120
881,1,28
1252,3,12
760,1,49
476,3,10
1143,5,3
947,2,36
679,2,79
1310,9,3
1006,3,31
1232,2,9
1034,5,8
453,1,163
1064,2,16
549,2,45
681,3,17
551,2,74
636,5,6
864,3,26
602,2,69
1293,4,3
672,5,6
405,0,60
1202,3,13
1031,2,23
583,3,16
719,2,60
639,0,9
644,4,9
698,2,67
1518,5,3
1207,2,7
481,1,185
1175,8,7
725,1,57
645,1,105
504,0,20
1303,2,3
722,1,67
643,2,76
517,0,22
883,4,21
547,3,9
693,3,25
181,1,18
799,1,36
1441,4,4
1115,2,17
1230,3,14
896,1,15
568,1,129
1071,2,13
776,1,42
843,1,36
901,4,14
853,3,24
1013,3,24
962,5,13
1011,3,23
570,1,130
757,2,63
1444,3,6
631,2,81
1064,6,6
270,1,99
1075,2,19
1172,6,7
746,4,17
1012,1,17
1088,1,5
952,6,4
798,2,72
1178,3,7
1377,3,7
1208,3,11
1236,2,11
1052,4,15
184,1,15
709,1,59
